id,outliers
0,10.4
1,7.8
2,9.0
3,6.4
4,14.6
5,7.4
6,6.2
7,1.6
8,10.6
9,10.4
10,5.4
11,9.0
12,13.6
13,4.6
14,2.6
15,4.6
16,10.8
17,2.0
18,5.0
19,3.8
20,1.2
21,3.2
22,6.6
23,1.2
24,7.4
25,12.8
26,2.0
27,5.8
28,16.0
29,2.4
30,11.8
31,8.4
32,10.8
33,13.2
34,3.6
35,14.4
36,6.4
37,2.8
38,15.2
39,2.4
40,7.0
41,11.0
42,11.2
43,11.4
44,5.2
45,9.6
46,9.6
47,1.8
48,4.2
49,4.4
50,1.6
51,5.2
52,1.2
53,2.8
54,6.8
55,6.2
56,0.0
57,2.6
58,6.0
59,4.6
60,7.6
61,15.8
62,2.6
63,6.6
64,7.0
65,6.6
66,3.0
67,5.4
68,13.0
69,5.0
70,10.4
71,0.4
72,7.4
73,0.0
74,11.2
75,2.8
76,9.2
77,11.6
78,6.6
79,14.6
80,2.4
81,0.8
82,0.0
83,6.6
84,10.0
85,3.8
86,3.0
87,6.4
88,6.2
89,6.2
90,6.0
91,4.8
92,15.0
93,2.8
94,17.6
95,9.6
96,5.2
97,0.8
98,3.4
99,6.8
100,10.6
101,8.0
102,3.8
103,8.0
104,3.2
105,8.2
106,7.0
107,16.6
108,7.4
109,1.0
110,2.6
111,2.0
112,4.2
113,4.4
114,2.0
115,8.8
116,7.0
117,8.4
118,2.0
119,7.6
120,8.6
121,8.4
122,12.4
123,7.8
124,3.6
125,7.6
126,4.0
127,1.0
128,8.6
129,8.6
130,7.2
131,7.8
132,2.0
133,8.6
134,9.8
135,14.6
136,7.0
137,2.6
138,3.2
139,12.6
140,3.8
141,5.4
142,4.2
143,0.6
144,3.8
145,2.8
146,4.6
147,4.2
148,3.2
149,2.4
150,2.2
151,3.6
152,2.6
153,14.6
154,9.0
155,5.0
156,3.8
157,4.8
158,5.6
159,4.0
160,4.2
161,8.4
162,5.0
163,10.2
164,7.6
165,0.0
166,4.4
167,14.4
168,0.0
169,4.2
170,11.0
171,7.2
172,4.0
173,5.4
174,10.4
175,10.0
176,0.4
177,6.8
178,7.0
179,5.4
180,7.2
181,6.0
182,4.2
183,5.6
184,8.2
185,11.2
186,11.4
187,4.2
188,10.2
189,0.6
190,8.2
191,7.2
192,14.2
193,3.8
194,7.6
195,13.0
196,15.6
197,1.8
198,13.4
199,0.4
200,16.8
201,2.4
202,0.0
203,13.8
204,6.8
205,6.6
206,7.8
207,7.0
208,0.0
209,12.6
210,5.2
211,7.4
212,7.2
213,9.2
214,11.0
215,12.4
216,6.8
217,1.0
218,3.8
219,0.4
220,7.2
221,3.4
222,9.6
223,1.6
224,5.8
225,5.6
226,8.0
227,4.0
228,3.2
229,6.8
230,6.0
231,3.2
232,5.8
233,9.4
234,6.4
235,4.6
236,8.2
237,1.4
238,12.2
239,1.0
240,3.4
241,6.2
